source,text,ref,new
"ברכות י ע""ב:","['ואמר רבי יוסי ברבי חנינא משום רבי אליעזר בן יעקב: מאי דכתיב: לא תאכלו על הדם? לא תאכלו קודם שתתפללו על דמכם. אמר רבי יצחק אמר רבי יוחנן אמר רבי יוסי ברבי חנינא משום רבי אליעזר בן יעקב: כל האוכל ושותה ואחר כך מתפלל - עליו הכתוב אומר: ואותי השלכת אחרי גויך, אל תקרי גויך אלא גאיך. אמר הקדוש ברוך הוא: לאחר שנתגאה זה - קבל עליו מלכות שמים.']",Berakhot 10b,
"שם כח ע""ב:","['רב אויא חלש ולא אתא לפרקא דרב יוסף. למחר כי אתא, בעא אביי לאנוחי דעתיה דרב יוסף. אמר ליה: מאי טעמא לא אתא מר לפרקא? אמר ליה: דהוה חליש לבאי ולא מצינא. אמר ליה: אמאי לא טעמת מידי ואתית? אמר ליה: לא סבר לה מר להא דרב הונא? דאמר רב הונא: אסור לו לאדם שיטעום כלום קודם שיתפלל תפלת המוספין! - אמר ליה: איבעי ליה למר לצלויי צלותא דמוספין ביחיד, ולטעום מידי ולמיתי! - אמר ליה: ולא סבר לה מר להא דאמר רבי יוחנן: אסור לו לאדם שיקדים תפלתו לתפלת הצבור? - אמר ליה: לאו אתמר עלה: אמר רבי אבא: בצבור שנו? ולית הלכתא; לא כרב הונא ולא כרבי יהושע בן לוי; כרב הונא - הא דאמרן, כרבי יהושע בן לוי - דאמר רבי יהושע בן לוי: כיון שהגיע זמן תפלת המנחה, אסור לו לאדם שיטעום כלום קודם שיתפלל תפלת המנחה.']",Berakhot 28b,
"חידושי הרשב""א שם י ע""ב ד""ה 'כל האוכל':","['כל האוכל ושותה ואח""כ מתפלל עליו הכתוב אומר ואותי השלכת אחרי גוך – ודוקא בשהתחיל לאחר שהגיע זמן תפלה אבל התחיל קודם לכן אינו צריך להפסיק, וכ""כ בתוספות.']",Rashba on Berakhot 10b:1,
"חידושי הרא""ה כח ע""ב ד""ה 'אמר ר' יוחנן':",['אבל לענין תפלת המוספין ודאי מסתברא דדוקא טעימה הוא דשריא אבל סעודה גדולה ודאי אסור דילמא אתי לאימשוכי.'],,
"ברכות לא ע""א:","['תנו רבנן: המתפלל צריך שיכוין את לבו לשמים. אבא שאול אומר, סימן לדבר: תכין לבם תקשיב אזנך. תניא, אמר רבי יהודה: כך היה מנהגו של רבי עקיבא, כשהיה מתפלל עם הצבור - היה מקצר ועולה, מפני טורח צבור, וכשהיה מתפלל בינו לבין עצמו - אדם מניחו בזוית זו ומוצאו בזוית אחרת, וכל כך למה - מפני כריעות והשתחויות.']",Berakhot 31a,
"רמב""ם הלכות תפילה ד, הלכות א, טו–טז:","['א. חמשה דברים מעכבין את התפלה אף על פי שהגיע זמנה, טהרת ידים, וכיסוי הערוה, וטהרת מקום תפלה, ודברים החופזים אותו, וכוונת הלב.', 'טו. כוונת הלב כיצד כל תפלה שאינה בכוונה אינה תפלה, ואם התפלל בלא כוונה חוזר ומתפלל בכוונה, מצא דעתו משובשת ולבו טרוד אסור לו להתפלל עד שתתיישב דעתו, לפיכך הבא מן הדרך והוא עיף או מיצר אסור לו להתפלל עד שתתיישב דעתו, אמרו חכמים ישהה שלשה ימים עד שינוח ותתקרר דעתו ואח""כ יתפלל.', 'טז. כיצד היא הכוונה שיפנה את לבו מכל המחשבות ויראה עצמו כאלו הוא עומד לפני השכינה, לפיכך צריך לישב מעט קודם התפלה כדי לכוין את לבו ואחר כך יתפלל בנחת ובתחנונים ולא יעשה תפלתו כמי שהיה נושא משאוי ומשליכו והולך לו, לפיכך צריך לישב מעט אחר התפלה ואחר כך יפטר, חסידים הראשונים היו שוהין שעה אחת קודם תפלה ושעה אחת לאחר תפלה ומאריכין בתפלה שעה.']",,
"שם י, א:","['מי שהתפלל ולא כיון את לבו יחזור ויתפלל בכוונה, ואם כיון את לבו בברכה ראשונה שוב אינו צריך , מי שטעה באחת משלש ברכות הראשונות חוזר לראש, ואם טעה באחת משלש ברכות אחרונות יחזור לעבודה, ואם טעה באחת מן האמצעיות חוזר לתחלת ברכה שטעה בה ומשלים תפלתו על הסדר, וכן ש""צ שטעה כשהוא מתפלל בקול רם על דרך זו הוא חוזר.']",,
"חידושי ר' חיים שם ד, א:","['והנה בפ""ד גבי כוונת שיודע שהוא מתפלל כתב הרמב""ם ז""ל כוונת הלב כיצד כל תפלה שאינה בכוונה אינה תפלה ואם התפלל בלא כוונה חוזר ומתפלל בכוונה, מצא דעתו משובשת ולבו טרוד אסור לו להתפלל עד שתתישב דעתו, ובפ""י שם לא כתב הרמב""ם רק חד גוונא מי שהתפלל ולא כיון לבו יחזור ויתפלל בכוונה, ואינך תרי בבי שימוד דעתו אם יכול לכוון וכן הא דבלא כיון הוי כלא התפלל השמיט. ונראה דדעת הרמב""ם דשני מחלקות הן בתפלה... ותרי גווני חיובי המה בתפלה, מחויב הוא לכוון שהוא עומד בתפלה משום דלא שניא תפלה משאר המצות, ומחויב הוא בכוונת פירוש הדברים משום חובת כוונה המסוים רק בתפלה. ושני החיובים אין מעכבין זה את זה, אלא דיוצא מזה ממילא, דאם הוא מתעסק או חסר לו דין כוונה של כל המצות א""כ הרי בטל עיקר המצוה, וממילא דהרי הוא כלא התפלל, ואם אינו יכול לכוון אל יתפלל כיון דאין זה תפלה כלל. אכן בחובת כוונה של פירוש הדברים כיון דהויא מסוימת רק בתפלה ע""כ אמרינן דאע""ג דאינו יכול לקיימה מ""מ שפיר חיילא עליה חובת תפלה שיעשה אותה ככל המצות ואית בה דין תפלה.']",,
"ברכות ו ע""א:","[""תניא, אבא בנימין אומר: אין תפלה של אדם נשמעת אלא בבית הכנסת, שנאמר: לשמוע אל הרנה ואל התפלה, במקום רנה שם תהא תפלה. אמר רבין בר רב אדא אמר רבי יצחק: מנין שהקדוש ברוך הוא מצוי בבית הכנסת שנאמר: אלהים נצב בעדת אל; ומנין לעשרה שמתפללין ששכינה עמהם - שנאמר: אלהים נצב בעדת אל; ומנין לשלשה שיושבין בדין ששכינה עמהם - שנאמר: בקרב אלהים ישפוט; ומנין לשנים שיושבין ועוסקין בתורה ששכינה עמהם - שנאמר: אז נדברו יראי ה' איש אל רעהו ויקשב ה' וגו'. מאי ולחושבי שמו? אמר רב אשי: חשב אדם לעשות מצוה ונאנס ולא עשאה - מעלה עליו הכתוב כאילו עשאה. ומנין שאפילו אחד שיושב ועוסק בתורה ששכינה עמו - שנאמר: בכל המקום אשר אזכיר את שמי אבוא אליך וברכתיך. וכי מאחר דאפילו חד - תרי מבעיא? תרי מכתבן מלייהו בספר הזכרונות, חד לא מכתבן מליה בספר הזכרונות. וכי מאחר דאפילו תרי - תלתא מבעיא? מהו דתימא: דינא שלמא בעלמא הוא, ולא אתיא שכינה - קמשמע לן דדינא נמי היינו תורה. וכי מאחר דאפילו תלתא - עשרה מבעיא? עשרה קדמה שכינה ואתיא, תלתא - עד דיתבי.""]",Berakhot 6a,
"רמב""ם הלכות תפילה ח, א–ד:","['א. תפלת הציבור נשמעת תמיד, ואפילו היו בהן חוטאים אין הקדוש ברוך הוא מואס בתפלתן של רבים. לפיכך צריך אדם לשתף עצמו עם הציבור, ולא יתפלל ביחיד כל זמן שיכול להתפלל עם הציבור, ולעולם ישכים אדם ויעריב לבית הכנסת שאין תפלתו נשמעת בכל עת אלא בבית הכנסת, וכל מי שיש לו בית הכנסת בעירו ואינו מתפלל בו עם הציבור נקרא שכן רע.', ""ב. ומצוה לרוץ לבית הכנסת, שנאמר ונדעה נרדפה לדעת את ה', וכשיצא מבית הכנסת אל יפסיע פסיעה גסה אלא ילך מעט מעט, וכשיכנס בבית הכנסת יכנס שיעור שני פתחים ואחר כך יתפלל, לקיים מה שנאמר לשמור מזוזות פתחי."", 'ג. בית המדרש גדול מבית הכנסת, וחכמים גדולים אף על פי שהיו להם בעירם בתי כנסיות הרבה לא היו מתפללין אלא במקום שהיו עוסקין שם בתורה. והוא שיתפלל שם תפלת הציבור.', 'ד. וכיצד היא תפלת הציבור? יהיה אחד מתפלל בקול רם והכל שומעים, ואין עושין כן בפחות מעשרה גדולים ובני חורין, ושליח ציבור אחד מהם, ואפילו היו מקצתן שכבר התפללו ויצאו ידי חובתן משלימין להם לעשרה והוא שיהיו רוב העשרה שלא התפללו, וכן אין אומרים קדושה ולא קוראין בתורה ומברכין לפניה ולאחריה ולא מפטירין בנביאים אלא בעשרה.']","Mishneh Torah, Prayer and the Priestly Blessing 8:1-4",
"מגילה יז ע""א–ע""ב:","['דתניא: קריאת שמע ככתבה דברי רבי, וחכמים אומרים: בכל לשון. מאי טעמא דרבי? אמר קרא: והיו - בהויתן יהו. ורבנן מאי טעמייהו? אמר קרא שמע - בכל לשון שאתה שומע. - ורבי נמי, הא כתיב שמע! ההוא מיבעי ליה: השמע לאזניך מה שאתה מוציא מפיך. ורבנן סברי כמאן דאמר: הקורא את שמע ולא השמיע לאזנו - יצא. ורבנן נמי, הכתיב והיו! ההוא מיבעי ליה שלא יקרא למפרע. ורבי, שלא יקרא למפרע מנא ליה? מדברים הדברים. ורבנן - דברים הדברים לא משמע להו. לימא קסבר רבי כל התורה כולה בכל לשון נאמרה, דאי סלקא דעתך בלשון הקודש נאמרה - למה לי למכתב והיו? אצטריך, סלקא דעתך שמע כרבנן - כתב רחמנא והיו. לימא קסברי רבנן כל התורה בלשון הקודש נאמרה, דאי סלקא דעתך בכל לשון נאמרה - למה לי למכתב שמע? איצטריך, סלקא דעתך אמינא והיו כרבי - כתב רחמנא שמע.']",Megillah 17,
"רש""י שם ד""ה 'בכל לשון נאמרה':","['בכל לשון נאמרה - לקרותה בכל לשון, ולכן איצטריך בקריאת שמע והיו.']",,Rashi on Megillah 17a
"תוספות שם ד""ה 'כל התורה':","['כל התורה בכל לשון נאמרה – פירש הקונטרס שנתנה לקרות בכל לשון שרוצה לקרות בספר תורה וקשה שהרי קריאת התורה אינה מן התורה אלא מדרבנן לבד מפרשת זכור דהוי דאורייתא ונראה דהכי פירושא כל קריאה שבתורה כגון מצות חליצה ופרשת עגלה ערופה וידוי מעשר ובכורים וכל אלו השנויין פרק אלו נאמרין בסוטה (דף לב ע""א ושם).']",,Tosafot on Megillah 17a
"טור או""ח קמה:","['בימי חכמי התלמוד היו רגילין לתרגם כדי שיבינו העם, כי לשונם היה ארמי ואין הקורא רשאי לקרות לתורגמן יותר מפסוק אחד אלא קורא לו פסוק אחד ומתרגמו וחוזר וקורא לו פסוק שני, ואין המתרגם רשאי לתרגם עד שיכלה הפסוק מפי הקורא ואין הקורא רשאי להגביה קולו יותר מן המתרגם ולא המתרגם יותר מהקורא ולא הקורא רשאי לקרות פסוק אחד עד שיכלה התרגום מפי המתרגם והקורא אינו רשאי לסייע למתרגם שלא יאמרו תרגום כתוב בתורה. קטן מתרגם ע""י גדול אבל אינו כבוד לגדול שיתרגם ע""י קטן. כתב רב נטרונאי אלו שאין מתרגמין ואומרים אין אנו צריכים תרגום דרבנן אלא בלשון שלנו בלשון שהציבור מבינין אין יוצאים י""ח אלא חייבים לתרגם אבל אם אינן מתרגמין להכעיס בני עבירה הם ואם מפני שאינן יודעין לתרגמו ילמדו ויתרגמו ואם יש מקום שרוצים לפרש להם יעמוד אחר חוץ מן המתרגם ויפרש להם כרצונם. אבל התוספות כתבו על הא דתניא ר\' חלפתא בן שאול אומר ל""ש אלא במקום שאין תורגמן אבל במקום שיש תורגמן פוסק, משמע שגם בימי חכמי התלמוד היו מקומות שלא היו מתרגמין. מכאן סעד למנהג שלנו שאין אנו רגילין לתרגם. ואמרינן נמי בירושלמי ממה דאנן חמי רבנן תפקי לתעניתא וקראו ולא מתרגמין הדא אמרה שאין התרגום מעכב, ונראה שהם היו רגילין לפרש להמון העם שהיו מדברים ארמית, אבל לדידן מה תועלת בתרגום כיון שאין אנו מבינין אותו, ואין לומר נלמוד מהם לפרש לעם בלשון שיבינו די""ל תרגום שאני שנתקן ברוח הקדש.']","Tur, Orach Chayim 145",
"שו""ת דברי יציב, ליקוטים והשמטות, סימן כא:","['ונראה דתליא בשורש התקנה דקריאת התורה, שאם זה מגדר לימוד התורה צריך שיבין מה שקורא ושומע, ולזה בעי תרגום (ונמצא שהתרגום היה חלק מהתקנה של קריאת התורה, ולזה אף שאין אנו מבינים מ""מ תקנה ראשונה לא זזה ממקומה וכדעת רב נטרונאי, והתוס\' והטור סוברים דלא הוי מגדר לימוד התורה רק חלק מהתפלה [ועיין לעיל חאו""ח סימן קפה] ולזה אין התרגום מעיקר החיוב רק שעשו כדי לפרש להמון וכיון שלדידן אין תועלת בכך אין מתרגמין). וי""ל דרש""י סובר כדעת רב נטרונאי גאון דתרגום מכלל התקנה דקריאת התורה, וז""ש בקריאת התורה בכל לשון כוונתו על התרגום, שאפשר לתרגם בכל לשון שמבינים העם (ואין צריך דוקא התרגום שנתקן ברוח הקדש אליבא דהאי מ""ד דכל התורה בכל לשון נאמרה...']",,
"שו""ת אגרות משה או""ח א סימן קא ד""ה 'ענף ב':","['וצריך לומר דיש שני עניני קריאה חדא דחייבו ללמד התורה ברבים בשבת ובשני ובחמישי ובמנחה בשבת, כמפורש בב""ק דף פ""ב מצד מצות למוד התורה. וכן ביום טוב הוא מצד מצות למוד התורה כדאיתא בסוף מגילה מוידבר משה מצותן שיהיו קורין כל אחד ואחד בזמנו והוא רק למצות למוד בעלמא דלפרסם ולהודיע איך לקיים מצות החג אין שייך אחרי שרוב הלכות החג צריך להכין קודם החג ומחמת זה דורשין בהלכו\' החג ל\' יום קודם החג משום שצריך הכנה הרבה קודם. ומצד מצות למוד תקנו שילמדו סך מנין הקרואים בכל זמן כתקנתם וכל דיני קריאה. ונהגו לחובה לגמור מצד מצות למוד כל התורה בשבתות של כל שנה ושנה.']",,
"שו""ת הר צבי או""ח א סימן עב:","['ומה שדן כת""ר לומר לענין קריאת התורה בכלל, שהקריאה היא רק חובת הצבור שתקרא התורה בבית הכנסת, ואין צריך שיוציא הקורא רבים יד""ח, והביא דברי הגר""ח פאלאג\'י בספר סמיכה לחיים (סימן ב), שכתב דאם קראו בצבור חובת היום אף אם יחידים לא שמעו נתקיים תקנתם וכו\', וגם יש מי שהביא ראיה ע""ז דאל""כ לא היו קטן ואשה יכולים לקרות, וכת""ר הוסיף שה""ה לענין ברכת התורה בצבור שא""צ להוציא את הרבים יד""ח הנה במקום אחר הארכתי בענין זה (והנ""מ היא בבעל קורא שנזדקן וקולו חלש וא""א לשמוע ממנו באופן שלא יחסר אף מלה אחת) וכתבתי שמדברי הראב""ן בתשו\' (סימן עג) מוכח שגם הקריאה וגם הברכה הן להוציא את הרבים יד""ח, וכן מבואר בב""ח או""ח (סימן קלט), עיין שם. וכן משמע בספר גבורת ארי (יומא דף מח ע""ב), שכתב חילוק בין קה""ת דשבת דהוי חיוב על כל יחיד ויחיד ובין מקרא הפרשה דיוה""כ, עיין שם.']",,
"ירושלמי קידושין פ""ד הי""ב בסופה:","[""רבי חזקיה ר' כהן בשם רב עתיד אדם ליתן דין וחשבון על כל שראת עינו ולא אכל. ר' לעזר חשש להדא שמועתא ומצמיח ליה פריטין ואכיל בהון מכל מילה חדא בשתא.""]",Jerusalem Talmud Kiddushin 4:12,
פני משה שם:,"['על כל מה שראת עינו ולא אכל – שנפשו מסתגפת בהתאות על הדבר ונמצא חוטא על הנפש.', 'ר\' אלעזר חשש להדא שמועתא – והיה מאסף לו פרוטות קטנות כדי שיהו מצוין ומוכנין בידו לקנות בהן מכל דבר חדש לפחות פעם אחת בשנה. א""נ הא דקאמר עתיד אדם ליתן דין וחשבון שראת עינו ולא אכל משום שאינו נותן לבו לחזור אחריהן לברך ולהודות השם ב""ה שברא מינים אלו להחיות בהן בני אדם וכמו שאינו נחשב בעיניו טובת יתעלה ב""ה וע""ז קאמר דר\' אלעזר היה חושש לשמועה זו והיה רואה להביא עצמו לידי חיוב לכל הפחות פעם אחת בשנה כדי לברך על כל מין ומין וליתן שבח והודיה לאל יתעלה ברוך הוא ומבורך המשגיח ומפרנס ומכין מזון לכל בריה וצורך כל נפש חיה יתברך שמו ויתעלה זכרו לעד ולנצח נצחים אמן נצח סלה ועד.']",,
"ברכות לה ע""א–ע""ב:","[""מתני'. כיצד מברכין על הפירות? על פירות האילן הוא אומר: בורא פרי העץ חוץ מן היין, שעל היין הוא אומר: בורא פרי הגפן; ועל פירות הארץ הוא אומר: בורא פרי האדמה, חוץ מן הפת, שעל הפת הוא אומר: המוציא לחם מן הארץ; ועל הירקות הוא אומר: בורא פרי האדמה, רבי יהודה אומר: בורא מיני דשאים."", ""גמרא. מנא הני מילי? דתנו רבנן: קדש הלולים לה' - מלמד שטעונים ברכה לפניהם ולאחריהם, מכאן אמר רבי עקיבא: אסור לאדם שיטעום כלום קודם שיברך - והאי קדש הלולים להכי הוא דאתא? האי מיבעי ליה, חד: דאמר רחמנא - אחליה והדר אכליה; ואידך: דבר הטעון שירה - טעון חלול, ושאינו טעון שירה - אין טעון חלול, וכדרבי שמואל בר נחמני אמר רבי יונתן; דאמר רבי שמואל בר נחמני אמר רבי יונתן: מנין שאין אומרים שירה אלא על היין - שנאמר ותאמר להם הגפן החדלתי את תירושי המשמח אלהים ואנשים, אם אנשים משמח - אלהים במה משמח? מכאן, שאין אומרים שירה אלא על היין! הניחא למאן דתני נטע רבעי, אלא למאן דתני כרם רבעי מאי איכא למימר? דאתמר: רבי חייא ורבי שמעון ברבי, חד תני: כרם רבעי, וחד תני: נטע רבעי! ולמאן דתני כרם רבעי - הניחא אי יליף גזרה שוה, דתניא: רבי אומר, נאמר כאן: להוסיף לכם תבואתו, ונאמר להלן: ותבואת הכרם - מה להלן כרם אף כאן כרם, אייתר ליה חד הלול לברכה; ואי לא יליף גזרה שוה - ברכה מנא ליה? ואי נמי יליף גזרה שוה - אשכחן לאחריו, לפניו מנין! הא לא קשיא, דאתיא בקל וחומר: כשהוא שבע מברך - כשהוא רעב לא כל שכן? אשכחן כרם, שאר מינין מנין? דיליף מכרם, מה כרם דבר שנהנה וטעון ברכה - אף כל דבר שנהנה טעון ברכה. - איכא למפרך: מה לכרם שכן חייב בעוללות! קמה תוכיח. מה לקמה - שכן חייבת בחלה! כרם יוכיח. וחזר הדין: לא ראי זה כראי זה ולא ראי זה כראי זה, הצד השוה שבהן - דבר שנהנה וטעון ברכה, אף כל דבר שנהנה טעון ברכה. - מה להצד השוה שבהן - שכן יש בו צד מזבח! ואתי נמי זית דאית ביה צד מזבח. - וזית מצד מזבח אתי? והא בהדיא כתיב ביה כרם, דכתיב: ויבער מגדיש ועד קמה ועד כרם זית! אמר רב פפא: כרם זית - אקרי, כרם סתמא - לא אקרי. מכל מקום קשיא: מה להצד השוה שבהן שכן יש בהן צד מזבח! אלא: דיליף לה משבעת המינין - מה שבעת המינין דבר שנהנה וטעון ברכה, אף כל דבר שנהנה טעון ברכה. מה לשבעת המינין שכן חייבין בבכורים! ועוד: התינח לאחריו, לפניו מנין? הא לא קשיא; דאתי בקל וחומר: כשהוא שבע מברך - כשהוא רעב לא כל שכן. ולמאן דתני נטע רבעי - הא תינח כל דבר נטיעה. דלאו בר נטיעה, כגון בשר ביצים ודגים, מנא ליה? אלא, סברא הוא: אסור לו לאדם שיהנה מן העולם הזה בלא ברכה."", ""תנו רבנן: אסור לו לאדם שיהנה מן העולם הזה בלא ברכה, וכל הנהנה מן העולם הזה בלא ברכה - מעל. מאי תקנתיה - ילך אצל חכם. ילך אצל חכם - מאי עביד ליה? הא עביד ליה איסורא! אלא אמר רבא: ילך אצל חכם מעיקרא וילמדנו ברכות, כדי שלא יבא לידי מעילה. אמר רב יהודה אמר שמואל: כל הנהנה מן העולם הזה בלא ברכה - כאילו נהנה מקדשי שמים, שנאמר: לה' הארץ ומלואה. רבי לוי רמי: כתיב לה' הארץ ומלואה, וכתיב: השמים שמים לה' והארץ נתן לבני אדם! לא קשיא, כאן - קודם ברכה, כאן - לאחר ברכה."", 'אמר רבי חנינא בר פפא: כל הנהנה מן העולם הזה בלא ברכה כאילו גוזל להקדוש ברוך הוא וכנסת ישראל, שנאמר: גוזל אביו ואמו ואומר אין פשע חבר הוא לאיש משחית; ואין אביו אלא הקדוש ברוך הוא, שנאמר הלא הוא אביך קנך; ואין אמו אלא כנסת ישראל, שנאמר: שמע בני מוסר אביך ואל תטוש תורת אמך. מאי חבר הוא לאיש משחית? אמר רבי חנינא בר פפא: חבר הוא לירבעם בן נבט שהשחית את ישראל לאביהם שבשמים.']",Berakhot 35,
"רמב""ם הלכות ברכות א, א–ד:","[""א. מצות עשה מן התורה לברך אחר אכילת מזון שנאמר ואכלת ושבעת וברכת את ה' אלהיך, ואינו חייב מן התורה אלא אם כן שבע שנאמר ואכלת ושבעת וברכת, ומדברי סופרים אכל אפילו כזית מברך אחריו."", 'ב. ומדברי סופרים לברך על כל מאכל תחלה ואח""כ יהנה ממנו, ואפילו נתכוין לאכול או לשתות כל שהוא מברך ואח""כ יהנה, וכן אם הריח ריח טוב מברך ואח""כ יהנה ממנו, וכל הנהנה בלא ברכה מעל, וכן מדברי סופרים לברך אחר כל מה שיאכל וכל מה שישתה, והוא שישתה רביעית והוא שיאכל כזית, ומטעמת אינה צריכה ברכה לא לפניה ולא לאחריה עד רביעית.', 'ג. וכשם שמברכין על ההנייה כך מברכין על כל מצוה ומצוה ואח""כ יעשה אותה, וברכות רבות תקנו חכמים דרך שבח והודיה ודרך בקשה כדי לזכור את הבורא תמיד אף על פי שלא נהנה ולא עשה מצוה.', 'ד. נמצאו כל הברכות כולן שלשה מינים: ברכות הנייה, וברכות מצות, וברכות הודאה שהן דרך שבח והודיה ובקשה כדי לזכור את הבורא תמיד וליראה ממנו.']","Mishneh Torah, Blessings 1:1-4",
"שו""ת דברי יציב, ליקוטים והשמטות, סימן כג:","['ולבאר גם כן מנהג אבוה""ק מזידיטשוב וצאנז, שלא נהגו לברך ברכת שהחיינו על שום פרי... כי הדבר ברור שאם אחד אינו מרגיש טעם במה שאוכל, וכאילו אוכל קש או אדמה, לא שייך בו שיברך ברכת שהחיינו, דבשלמא ברכת הנהנין נקבעה על האכילה וכיון שסוף סוף הוא אוכל יש עליו חיוב לברך, משא""כ ברכת שהחיינו שאינה באה אלא על ההנאה ושמחת הלב. וקדושים הללו שכל אכילתם לא היתה אלא כדי להוציא ניצוצות הקדושה שבמאכלים לא הרגישו שום הנאה גופניית במאכל, ולכן לא היה שייך בהם שיברכו שהחיינו.']",,
"ברכות יב ע""א:","['מקום שאמרו להאריך. פשיטא, היכא דקא נקיט כסא דחמרא בידיה וקסבר דשכרא הוא ופתח ומברך אדעתא דשכרא וסיים בדחמרא - יצא, דאי נמי אם אמר שהכל נהיה בדברו יצא, דהא תנן: על כולם אם אמר שהכל נהיה בדברו - יצא. אלא, היכא דקא נקיט כסא דשכרא בידיה וקסבר דחמרא הוא, פתח ובריך אדעתא דחמרא, וסיים בדשכרא, מאי? בתר עיקר ברכה אזלינן, או בתר חתימה אזלינן? תא שמע: שחרית, פתח ביוצר אור וסיים במעריב ערבים - לא יצא, פתח במעריב ערבים וסיים ביוצר אור - יצא; ערבית, פתח במעריב ערבים וסיים ביוצר אור - לא יצא, פתח ביוצר אור וסיים במעריב ערבים - יצא; כללו של דבר: הכל הולך אחר החתום. שאני התם דקאמר: ברוך יוצר המאורות. הניחא לרב דאמר כל ברכה שאין בה הזכרת השם אינה ברכה - שפיר, אלא לרבי יוחנן דאמר: כל ברכה שאין בה מלכות אינה ברכה, מאי איכא למימר? אלא, כיון דאמר רבה בר עולא: כדי להזכיר מדת יום בלילה ומדת לילה ביום, כי קאמר ברכה ומלכות מעיקרא אתרוייהו קאמר. תא שמע מסיפא, כללו של דבר: הכל הולך אחר החתום. כללו של דבר לאתויי מאי - לאו לאתויי הא דאמרן? לא, לאתויי נהמא ותמרי. היכי דמי? אילימא דאכל נהמא וקסבר דתמרי אכל, ופתח אדעתא דתמרי וסיים בדנהמא - היינו בעיין! לא צריכא: כגון דאכל תמרי וקסבר נהמא אכל, ופתח בדנהמא וסיים בדתמרי - [יצא], דאפילו סיים בדנהמא נמי יצא; מאי טעמא - דתמרי נמי מיזן זייני.']",Berakhot 12a,
"תוספות שם ד""ה 'לא':","['לא לאתויי נהמא - ופירש רב אלפס השתא דלא אפשיטא בעיין אזלינן לקולא ואפילו פתח בחמרא וסיים בשכרא יצא. ור""י הי\' אומר לחומרא דצריך לברך פעם אחרת...']",Tosafot on Berakhot 12a:20:1,
"מגן אברהם או""ח רט ס""ק ג:","['ומ""מ קשה למה פסקו התוס\' לחומרא, הא קי""ל ספק ברכות להקל.']",Magen Avraham 209:3,
"גליון הש""ס על ברכות שם:","['תוס\' ד""ה לא כו\' לחומרא כו\' – ולא שייך הכא לומר ספק ברכות לקולא (ובמגן אברהם סימן ר""ט ס""ק ג\' הקשה כן) דכבר כתב הרש""א בפסחים קב ע""א בפי\' רשב""ם ד""ה להודיעך כחו, דל""ש כן אלא בברכת המצות דהברכות אינן מעכבות. אבל בברכת הנהנין אסור לאכול בלא ברכה, ע""ש. ולא הוי כאן חשש ברכה לבטלה. דאם לא יברך יהא אסור לו לשתות. אח""ז ראיתי באבן העוזר (סימן ריד) שכ""כ מסברא דנפשיה ולא הביא דברי הרש""א. ועיין מ""ש לקמן (מט ע""ב) בתוס\' ד""ה ר""מ.']",,
"ברכות לה ע""ב:","['גופא: אמר רב יהודה אמר שמואל, וכן אמר רבי יצחק אמר רבי יוחנן: שמן זית מברכין עליו בורא פרי העץ. היכי דמי? אילימא דקא שתי ליה - אוזוקי מזיק ליה! דתניא: השותה שמן של תרומה - משלם את הקרן ואינו משלם את החומש, הסך שמן של תרומה - משלם את הקרן ומשלם את החומש!']",Berakhot 35b,
"רש""י שם ד""ה 'אוזוקי':","['אוזוקי מזיק – לגופיה, ואין זו אכילה שטעונה ברכה, דגבי ברכה ואכלת כתיב.']",,Rashi on Berakhot 35b:22:1
"שיטה מקובצת שם ד""ה 'היכי דמי':",['היכי דמי אי דקא שתי ליה – פירוש בעיניה אזוקי קא מזיק ליה. פירוש האי מפסיד השמן הוא וחשוב כמזיק ולא חשיבא הנאה כלל כדתנן לגבי תרומה דמשלם את הקרן ולא חומש. פירוש דאין חומש אלא בנהנה דהתורה אמרה איש כי יאכל קודש פרט למזיק ומן הדין מזיק להקדש פטור אלא דרבנן חייבוהו בקרן כשיש לו בעלים כגון דאתא ליד כהן אבל ודאי אי לא אתא לידא דכהן בלאו הכי נמי פטור דממון שאין לו תובעים הוא.'],Shita Mekubetzet on Berakhot 35b:22:1,
"ברכות לה ע""א:","['אשכחן לאחריו, לפניו מנין! הא לא קשיא, דאתיא בקל וחומר: כשהוא שבע מברך - כשהוא רעב לא כל שכן?']",Berakhot 35a,
"רש""י שם ד""ה 'אשכחן לאחריו':",['אשכחן לאחריו - כדאשכחן בברכת המזון דכתיב ואכלת ושבעת וברכת.'],,Rashi on Berakhot 35a:6:1
"ברכות כ ע""א–ע""ב:","[""מתני'. נשים ועבדים וקטנים פטורין מקריאת שמע ומן התפילין, וחייבין בתפילה ובמזוזה ובברכת המזון."", 'גמרא. [...] אמר ליה רבינא לרבא: נשים בברכת המזון, דאורייתא או דרבנן? למאי נפקא מינה - לאפוקי רבים ידי חובתן. אי אמרת דאורייתא - אתי דאורייתא ומפיק דאורייתא, ואי אמרת דרבנן - הוי שאינו מחוייב בדבר, וכל שאינו מחוייב בדבר - אינו מוציא את הרבים ידי חובתן. מאי?']",Berakhot 20,
